name,x coordinate,y coordinate,description
Shoreline Rooftop .20,-97.39164234061739,27.79900583295709,10
Sinton Tower .208,-97.50107799999999,28.051207,5
Skidmore Tower .240,-97.67671523934015,28.24639694220945,10
Skidmore TX SQA AT .241,-97.70998000007198,28.30569000042713,10
South George West Tower .92,-98.10499375430983,28.21776949862285,10
South Rockport .147,-97.07599883431966,28.00183472114547,9
South St. Paul GE .126,-97.55723508256654,28.08162659537938,5
Southeast Skidmore Tower .242,-97.63241500696498,28.21852086709655,5
St. Paul GE .128,-97.58802514360411,28.11595634387746,7
Swinney Switch Tower .74,-97.91924899999999,28.244284,7
Taft GE .48,-97.40436925267583,27.98024672146087,10
Three Rivers .134,-98.17241494887806,28.40670787892923,7
Tom Brown Tower .135,-97.58699416371688,28.19205913414387,5
Tynan GE .164,-97.75868123981067,28.1661143468401,10
VFW Pole .107,-97.18150741683475,27.87417550424457,3
Victoria Tower .166,-97.03048497744504,28.79291071151806,10
West Orange Grove Hale Tower .139,-97.98513173368588,27.95523102035373,5
West Orange Grove Pole .118,-97.97263586474065,27.98792441183905,4
West Orange Grove Tower .52,-98.07831737774225,28.00990667511996,10
West Sinton GE .248,-97.68847870252131,28.09088195856845,5
Wilderness Tower .214,-97.86348079057643,28.05377200928771,6
Woodsboro GE .70,-97.33428554753404,28.2355845827768,9
